Student	Gender	Smoke	Marijuan	DrivDrnk	GPA	PartyNum	DaysBeer	StudyHrs
44	female	No	Yes	No	3.860	7	6	10
45	male	Yes	No	Yes	2.970	3	5	14
46	female	No	Yes	No	3.600	3	8	6
47	female	No	No	No	3.300	0	0	9
48	female	Yes	Yes	Yes	3.500	13	13	12
49	female	No	No	No	2.400	0	3	6
50	female	Yes	Yes	No	3.500	5	8	15
51	female	No	No	No	2.800	2	0	20
52	male	No	No	No	3.000	10	10	6
53	male	No	No	Yes	2.800	8	8	30
54	female	Yes	Yes	Yes	2.000	4	15	10
55	female	Yes	Yes	Yes	2.940	7	9	10
56	female	No	Yes	No	3.300	10	10	12
57	female	No	No	No	3.340	12	12	20
58	male	No	No	No	3.230	2	0	6
59	male	No	No	Yes	3.480	15	24	23
60	female	No	Yes	No	3.000	14	13	20
61	female	Yes	Yes	Yes	2.330	10	20	5
62	female	No	Yes	Yes	3.200	5	4	7
63	female	No	No	No	3.000	10	3	24
64	female	No	Yes	No	3.880	13	12	18
65	male	No	No	No	2.500	1	1	6
66	female	Yes	Yes	Yes	2.870	9	15	6
67	female	No	No	No	3.400	4	6	12
68	female	No	Yes	Yes	3.700	5	10	20
69	female	Yes	Yes	Yes	2.780	6	8	15
70	female	No	Yes	Yes	2.700	14	12	14
71	female	Yes	Yes	No	2.500	8	10	10
72	female	Yes	Yes	Yes	3.580	6	3	8
73	female	No	Yes	Yes	3.530	16	18	7
74	female	No	No	Yes	3.090	8	10	30
75	female	No	No	No	3.530	0	0	6
76	male	Yes	Yes	Yes	2.500	4	6	5
77	female	No	No	No	3.000	8	0	35
78	male	No	Yes	Yes	3.540	NA	10	10
79	female	Yes	Yes	Yes	2.200	16	16	15
80	female	No	No	No	2.650	9	9	6
81	male	Yes	No	No	3.100	9	7	14
82	female	No	Yes	Yes	3.500	0	0	7
83	male	No	No	No	3.400	5	4	15
84	female	No	No	No	3.330	2	0	41
85	female	Yes	No	No	3.260	5	5	10
86	male	No	Yes	Yes	2.700	0	5	3
87	male	No	No	No	2.100	8	15	18
88	male	No	No	Yes	3.250	12	0	24
89	male	No	No	No	3.250	8	10	5
90	male	No	Yes	No	3.895	5	5	16
91	female	No	No	No	2.700	5	4	45
92	female	No	Yes	No	3.650	5	4	18
93	male	No	No	No	2.070	4	1	12
94	female	No	Yes	No	3.000	4	10	20
95	female	No	No	No	3.560	8	8	12
96	female	No	No	Yes	3.360	7	7	17
97	female	Yes	Yes	Yes	2.800	10	20	6
98	male	No	No	Yes	3.500	1	1	6
99	male	No	Yes	No	2.860	12	20	8
100	female	No	No	No	NA	8	8	7
101	female	Yes	Yes	No	3.100	5	7	10
102	female	No	Yes	No	3.200	12	9	30
103	male	No	Yes	Yes	3.550	8	9	10
104	female	Yes	Yes	No	2.400	20	10	15
105	female	No	Yes	Yes	3.980	NA	9	28
106	male	No	Yes	Yes	2.750	20	20	10
107	male	No	Yes	No	3.140	15	15	5
108	female	No	No	No	3.650	9	9	20
109	female	No	No	No	3.200	8	10	20
110	male	No	No	No	3.917	0	0	14
111	female	No	No	Yes	3.600	1	5	10
112	female	No	Yes	No	3.690	6	6	12
113	female	No	No	No	NA	3	0	30
114	female	No	No	No	2.800	8	8	5
115	female	No	No	No	3.250	5	0	15
116	male	No	Yes	Yes	2.210	15	20	5
117	male	No	Yes	No	3.500	0	1	35
118	female	No	No	Yes	3.700	9	8	30
119	male	No	No	No	2.580	15	10	9
120	female	No	Yes	No	3.490	5	5	8
121	male	No	Yes	Yes	3.230	12	14	12
122	male	No	No	No	3.400	6	8	15
123	male	No	Yes	Yes	2.900	20	22	24
124	female	No	No	No	3.900	7	4	20
125	female	No	Yes	Yes	3.840	5	5	7
126	male	Yes	Yes	No	2.200	7	7	24
127	female	No	No	No	3.700	7	4	15
128	male	No	No	No	4.010	4	4	10
129	female	No	Yes	Yes	3.330	10	10	25
130	female	Yes	No	Yes	2.900	10	0	8
131	female	No	No	Yes	2.700	13	13	21
132	female	No	Yes	Yes	3.800	10	10	10
133	female	No	No	No	2.040	1	0	10
134	female	No	No	Yes	3.750	2	0	12
135	female	No	No	No	2.980	12	10	30
136	female	No	Yes	Yes	2.700	16	6	18
137	male	Yes	No	Yes	2.600	4	4	10
138	female	Yes	Yes	Yes	3.000	15	28	30
139	male	No	No	Yes	2.010	8	4	30
140	male	Yes	Yes	Yes	3.500	10	14	14
141	male	Yes	Yes	Yes	2.650	12	12	10
142	male	No	No	No	2.500	0	0	10
143	female	No	No	No	2.980	1	0	8
144	male	No	No	No	3.640	7	6	18
145	male	Yes	Yes	Yes	3.000	12	20	20
146	female	No	No	No	3.650	8	8	15
147	male	No	No	No	3.200	3	2	30
148	male	No	No	Yes	2.670	13	13	5
149	male	Yes	Yes	Yes	2.700	1	3	10
150	male	Yes	Yes	Yes	2.890	25	25	8
151	female	No	Yes	Yes	3.600	20	25	8
152	male	Yes	Yes	Yes	2.040	5	5	4
153	female	No	No	Yes	3.700	6	8	12
154	male	No	Yes	Yes	2.330	20	15	15
155	female	No	No	No	3.200	15	4	10
156	female	No	No	No	3.000	2	8	19
157	male	Yes	Yes	Yes	2.680	12	12	15
158	female	No	No	No	3.630	10	15	7
159	female	No	No	No	3.930	14	11	9
160	female	Yes	No	No	2.830	9	9	10
161	female	No	Yes	No	3.300	5	10	15
162	male	No	No	No	3.700	20	10	20
163	male	No	No	No	3.670	6	6	20
164	female	No	No	No	2.910	5	0	13
165	female	Yes	Yes	Yes	3.600	12	12	21
166	male	No	Yes	Yes	3.850	6	5	12
167	female	No	No	Yes	3.590	7	8	18
168	male	Yes	Yes	Yes	2.600	10	13	24
169	female	No	No	No	3.300	2	2	8
170	male	No	Yes	Yes	2.880	12	14	3
171	male	No	Yes	Yes	2.700	15	13	10
172	female	No	Yes	Yes	3.100	10	10	15
173	female	No	No	Yes	2.600	10	8	25
174	male	No	Yes	Yes	3.700	4	13	10
175	male	Yes	No	No	3.300	0	0	50
176	male	No	Yes	Yes	2.670	20	12	15
177	male	No	Yes	Yes	2.600	11	13	14
178	male	No	Yes	No	3.200	14	8	4
179	male	No	No	Yes	3.800	6	8	40
180	female	No	No	No	3.280	10	8	15
181	male	No	No	No	3.620	10	10	10
182	female	No	No	No	3.310	7	0	21
183	male	No	No	Yes	2.650	12	25	10
184	male	No	Yes	Yes	3.000	5	10	25
185	male	No	Yes	Yes	2.900	15	18	4
186	male	No	No	No	3.500	3	0	60
187	female	No	No	No	2.800	0	0	7
188	male	Yes	Yes	Yes	2.500	31	18	24
189	male	No	Yes	No	3.480	8	8	12
190	female	No	No	Yes	3.100	2	1	19
191	male	No	No	No	3.160	0	0	12
192	male	No	No	Yes	NA	5	0	10
193	female	No	No	No	3.900	0	0	15
194	female	No	No	No	2.770	4	6	10
195	male	No	No	No	3.400	3	4	6
196	male	No	No	Yes	3.040	13	20	15
197	female	No	Yes	No	3.430	6	3	10
198	male	No	No	No	2.340	5	6	5
199	male	No	Yes	Yes	2.500	6	8	10
200	male	No	No	No	2.840	9	10	10
201	male	No	Yes	Yes	2.500	8	7	15
202	female	No	Yes	No	2.500	15	31	5
203	male	No	No	No	2.700	8	10	5
204	female	No	No	No	3.300	2	0	5
205	female	No	No	No	2.500	3	3	25
206	female	No	No	No	3.750	0	0	25
207	female	No	No	No	3.600	7	7	32
208	female	No	No	Yes	4.000	0	0	12
209	female	Yes	Yes	Yes	3.000	12	12	35
210	female	No	No	No	3.610	4	4	7
211	male	Yes	Yes	Yes	3.540	10	12	15
212	female	Yes	No	Yes	3.400	5	10	4
213	female	No	Yes	No	3.000	8	0	20
214	female	No	Yes	No	3.150	7	15	12
215	male	No	Yes	Yes	3.650	12	6	20
216	female	Yes	Yes	Yes	2.900	25	20	7
217	male	No	Yes	Yes	2.600	16	20	8
218	female	No	No	No	3.100	0	2	14
219	female	No	No	No	2.900	3	3	4
220	male	Yes	Yes	Yes	2.900	4	6	4
221	male	No	Yes	Yes	2.800	15	15	6
222	female	No	No	No	2.700	NA	6	20
223	female	No	Yes	Yes	3.880	9	11	20
224	female	No	No	No	3.600	2	0	20
225	female	Yes	Yes	No	3.350	10	10	20
226	male	No	No	No	4.000	2	2	15
227	female	Yes	Yes	Yes	3.320	25	13	21
228	female	No	Yes	Yes	3.000	12	12	5
229	male	No	Yes	Yes	2.800	5	24	10
230	female	No	No	Yes	3.280	10	12	10
231	female	Yes	No	Yes	2.500	0	1	15
232	female	No	Yes	No	3.500	8	8	25
233	male	No	Yes	Yes	3.170	10	15	20
234	male	No	No	Yes	3.000	12	10	6
235	female	No	No	No	3.900	8	0	20
236	male	Yes	Yes	Yes	3.200	8	4	20
237	male	No	Yes	Yes	3.100	12	15	10
238	male	Yes	Yes	Yes	3.200	20	31	5
239	male	Yes	Yes	Yes	2.070	14	16	10
240	female	Yes	Yes	Yes	2.670	10	7	20
241	female	No	Yes	Yes	NA	12	15	18
242	male	No	No	Yes	3.440	4	8	15
243	female	Yes	No	Yes	2.200	8	8	2
244	male	No	Yes	Yes	2.800	15	20	10
245	female	No	No	No	4.000	4	0	10
246	male	No	Yes	Yes	3.600	12	12	15
247	female	No	No	Yes	4.000	15	12	40
248	male	No	No	Yes	3.400	10	12	15
249	male	No	No	No	3.790	3	2	25

